,index,TimeFrame,Location Id,Dwelling Type,Number Of Beds,Median Rent,Total Bonds
0,2456,2026-04-01,100100,ALL,ALL,425.0,6
1,2457,2026-04-01,100400,ALL,ALL,510.0,6
2,2458,2026-04-01,100600,ALL,ALL,630.0,9
3,2459,2026-04-01,100700,ALL,ALL,550.0,12
4,2460,2026-04-01,100800,ALL,ALL,500.0,27
5,2461,2026-04-01,101100,ALL,ALL,550.0,21
6,2462,2026-04-01,102100,ALL,ALL,410.0,6
7,2463,2026-04-01,102200,ALL,ALL,685.0,6
8,2464,2026-04-01,102400,ALL,ALL,523.0,6
9,2465,2026-04-01,102500,ALL,ALL,613.0,6
10,2466,2026-04-01,102800,ALL,ALL,660.0,18
11,2467,2026-04-01,103000,ALL,ALL,638.0,30
12,2468,2026-04-01,103100,ALL,ALL,650.0,21
13,2469,2026-04-01,103500,ALL,ALL,470.0,24
14,2470,2026-04-01,103900,ALL,ALL,500.0,21
15,2471,2026-04-01,104300,ALL,ALL,550.0,9
16,2472,2026-04-01,104600,ALL,ALL,625.0,6
17,2473,2026-04-01,104900,ALL,ALL,450.0,6
18,2474,2026-04-01,105300,ALL,ALL,650.0,9
19,2475,2026-04-01,105400,ALL,ALL,420.0,6
20,2476,2026-04-01,105500,ALL,ALL,530.0,9
21,2477,2026-04-01,105600,ALL,ALL,550.0,6
22,2478,2026-04-01,105800,ALL,ALL,650.0,18
23,2479,2026-04-01,105900,ALL,ALL,640.0,15
24,2480,2026-04-01,106000,ALL,ALL,590.0,9
25,2481,2026-04-01,106100,ALL,ALL,600.0,21
26,2482,2026-04-01,106200,ALL,ALL,645.0,27
27,2483,2026-04-01,106300,ALL,ALL,750.0,6
28,2484,2026-04-01,106400,ALL,ALL,560.0,6
29,2485,2026-04-01,106500,ALL,ALL,598.0,18
30,2486,2026-04-01,106600,ALL,ALL,515.0,30
31,2487,2026-04-01,106800,ALL,ALL,570.0,27
32,2488,2026-04-01,106900,ALL,ALL,570.0,24
33,2489,2026-04-01,107000,ALL,ALL,510.0,39
34,2490,2026-04-01,107100,ALL,ALL,480.0,15
35,2491,2026-04-01,107200,ALL,ALL,570.0,15
36,2492,2026-04-01,107300,ALL,ALL,550.0,18
37,2493,2026-04-01,107400,ALL,ALL,388.0,18
38,2494,2026-04-01,107500,ALL,ALL,600.0,27
39,2495,2026-04-01,107800,ALL,ALL,550.0,9
40,2496,2026-04-01,108100,ALL,ALL,590.0,12
41,2497,2026-04-01,108200,ALL,ALL,545.0,21
42,2498,2026-04-01,108300,ALL,ALL,595.0,24
43,2499,2026-04-01,108500,ALL,ALL,650.0,12
44,2500,2026-04-01,108700,ALL,ALL,665.0,18
45,2501,2026-04-01,108800,ALL,ALL,590.0,21
46,2502,2026-04-01,108900,ALL,ALL,535.0,12
47,2503,2026-04-01,109000,ALL,ALL,615.0,12
48,2504,2026-04-01,109100,ALL,ALL,500.0,6
49,2505,2026-04-01,109300,ALL,ALL,505.0,42
50,2506,2026-04-01,109500,ALL,ALL,575.0,12
51,2507,2026-04-01,109600,ALL,ALL,530.0,6
52,2508,2026-04-01,109700,ALL,ALL,590.0,9
53,2509,2026-04-01,109800,ALL,ALL,640.0,12
54,2510,2026-04-01,109900,ALL,ALL,690.0,36
55,2511,2026-04-01,110100,ALL,ALL,650.0,9
56,2512,2026-04-01,110200,ALL,ALL,570.0,6
57,2513,2026-04-01,110400,ALL,ALL,635.0,12
58,2514,2026-04-01,110500,ALL,ALL,580.0,18
59,2515,2026-04-01,110700,ALL,ALL,770.0,6
60,2516,2026-04-01,110900,ALL,ALL,670.0,9
61,2517,2026-04-01,111100,ALL,ALL,730.0,18
62,2518,2026-04-01,111200,ALL,ALL,640.0,12
63,2519,2026-04-01,111300,ALL,ALL,698.0,39
64,2520,2026-04-01,111500,ALL,ALL,850.0,12
65,2521,2026-04-01,111700,ALL,ALL,640.0,27
66,2522,2026-04-01,111900,ALL,ALL,690.0,6
67,2523,2026-04-01,112100,ALL,ALL,860.0,6
68,2524,2026-04-01,112200,ALL,ALL,415.0,6
69,2525,2026-04-01,112400,ALL,ALL,630.0,9
70,2526,2026-04-01,112500,ALL,ALL,800.0,9
71,2527,2026-04-01,112700,ALL,ALL,775.0,39
72,2528,2026-04-01,112900,ALL,ALL,745.0,24
73,2529,2026-04-01,113000,ALL,ALL,665.0,33
74,2530,2026-04-01,113100,ALL,ALL,850.0,15
75,2531,2026-04-01,113200,ALL,ALL,700.0,6
76,2532,2026-04-01,113300,ALL,ALL,855.0,36
77,2533,2026-04-01,113400,ALL,ALL,880.0,33
78,2534,2026-04-01,113800,ALL,ALL,610.0,21
79,2535,2026-04-01,113900,ALL,ALL,770.0,21
80,2536,2026-04-01,114000,ALL,ALL,750.0,9
81,2537,2026-04-01,114100,ALL,ALL,690.0,9
82,2538,2026-04-01,114200,ALL,ALL,585.0,6
83,2539,2026-04-01,114600,ALL,ALL,650.0,18
84,2540,2026-04-01,114700,ALL,ALL,1000.0,9
85,2541,2026-04-01,114800,ALL,ALL,1000.0,9
86,2542,2026-04-01,114900,ALL,ALL,600.0,24
87,2543,2026-04-01,115000,ALL,ALL,765.0,48
88,2544,2026-04-01,115100,ALL,ALL,620.0,27
89,2545,2026-04-01,115200,ALL,ALL,655.0,12
90,2546,2026-04-01,115400,ALL,ALL,820.0,9
91,2547,2026-04-01,115500,ALL,ALL,690.0,12
92,2548,2026-04-01,115600,ALL,ALL,768.0,6
93,2549,2026-04-01,115700,ALL,ALL,750.0,12
94,2550,2026-04-01,115800,ALL,ALL,680.0,15
95,2551,2026-04-01,115900,ALL,ALL,800.0,15
96,2552,2026-04-01,116000,ALL,ALL,780.0,6
97,2553,2026-04-01,116100,ALL,ALL,820.0,12
98,2554,2026-04-01,116200,ALL,ALL,650.0,24
99,2555,2026-04-01,116400,ALL,ALL,595.0,9
100,2556,2026-04-01,116500,ALL,ALL,885.0,24
101,2557,2026-04-01,116600,ALL,ALL,708.0,12
102,2558,2026-04-01,116700,ALL,ALL,690.0,51
103,2559,2026-04-01,116800,ALL,ALL,750.0,21
104,2560,2026-04-01,116900,ALL,ALL,855.0,24
105,2561,2026-04-01,117000,ALL,ALL,720.0,51
106,2562,2026-04-01,117200,ALL,ALL,755.0,24
107,2563,2026-04-01,117300,ALL,ALL,645.0,42
108,2564,2026-04-01,117400,ALL,ALL,895.0,18
109,2565,2026-04-01,117500,ALL,ALL,708.0,24
110,2566,2026-04-01,117600,ALL,ALL,735.0,27
111,2567,2026-04-01,117700,ALL,ALL,710.0,27
112,2568,2026-04-01,117800,ALL,ALL,755.0,24
113,2569,2026-04-01,117900,ALL,ALL,750.0,18
114,2570,2026-04-01,118000,ALL,ALL,600.0,6
115,2571,2026-04-01,118100,ALL,ALL,640.0,33
116,2572,2026-04-01,118200,ALL,ALL,850.0,21
117,2573,2026-04-01,118300,ALL,ALL,655.0,18
118,2574,2026-04-01,118400,ALL,ALL,575.0,24
119,2575,2026-04-01,118500,ALL,ALL,775.0,36
120,2576,2026-04-01,118600,ALL,ALL,555.0,6
121,2577,2026-04-01,118700,ALL,ALL,850.0,18
122,2578,2026-04-01,118900,ALL,ALL,605.0,12
123,2579,2026-04-01,119000,ALL,ALL,810.0,18
124,2580,2026-04-01,119100,ALL,ALL,935.0,18
125,2581,2026-04-01,119200,ALL,ALL,800.0,12
126,2582,2026-04-01,119400,ALL,ALL,950.0,15
127,2583,2026-04-01,119500,ALL,ALL,850.0,21
128,2584,2026-04-01,119600,ALL,ALL,665.0,33
129,2585,2026-04-01,119700,ALL,ALL,720.0,15
130,2586,2026-04-01,119800,ALL,ALL,660.0,36
131,2587,2026-04-01,119900,ALL,ALL,785.0,9
132,2588,2026-04-01,120000,ALL,ALL,950.0,12
133,2589,2026-04-01,120200,ALL,ALL,700.0,156
134,2590,2026-04-01,120300,ALL,ALL,775.0,9
135,2591,2026-04-01,120400,ALL,ALL,595.0,36
136,2592,2026-04-01,120500,ALL,ALL,950.0,15
137,2593,2026-04-01,120600,ALL,ALL,678.0,18
138,2594,2026-04-01,120800,ALL,ALL,807.0,12
139,2595,2026-04-01,120900,ALL,ALL,680.0,21
140,2596,2026-04-01,121000,ALL,ALL,663.0,24
141,2597,2026-04-01,121200,ALL,ALL,710.0,24
142,2598,2026-04-01,121300,ALL,ALL,760.0,39
143,2599,2026-04-01,121400,ALL,ALL,743.0,12
144,2600,2026-04-01,121500,ALL,ALL,680.0,30
145,2601,2026-04-01,121600,ALL,ALL,630.0,33
146,2602,2026-04-01,121700,ALL,ALL,555.0,6
147,2603,2026-04-01,121800,ALL,ALL,663.0,18
148,2604,2026-04-01,121900,ALL,ALL,600.0,30
149,2605,2026-04-01,122000,ALL,ALL,850.0,15
150,2606,2026-04-01,122100,ALL,ALL,650.0,21
151,2607,2026-04-01,122200,ALL,ALL,928.0,18
152,2608,2026-04-01,122300,ALL,ALL,650.0,27
153,2609,2026-04-01,122400,ALL,ALL,670.0,15
154,2610,2026-04-01,122500,ALL,ALL,660.0,21
155,2611,2026-04-01,122600,ALL,ALL,850.0,27
156,2612,2026-04-01,122700,ALL,ALL,650.0,24
157,2613,2026-04-01,122800,ALL,ALL,650.0,30
158,2614,2026-04-01,122900,ALL,ALL,650.0,30
159,2615,2026-04-01,123000,ALL,ALL,600.0,24
160,2616,2026-04-01,123100,ALL,ALL,700.0,33
161,2617,2026-04-01,123200,ALL,ALL,625.0,42
162,2618,2026-04-01,123300,ALL,ALL,700.0,21
163,2619,2026-04-01,123400,ALL,ALL,763.0,24
164,2620,2026-04-01,123600,ALL,ALL,760.0,27
165,2621,2026-04-01,123700,ALL,ALL,935.0,24
166,2622,2026-04-01,123800,ALL,ALL,610.0,21
167,2623,2026-04-01,123900,ALL,ALL,695.0,27
168,2624,2026-04-01,124000,ALL,ALL,650.0,21
169,2625,2026-04-01,124200,ALL,ALL,640.0,18
170,2626,2026-04-01,124300,ALL,ALL,650.0,24
171,2627,2026-04-01,124400,ALL,ALL,650.0,36
172,2628,2026-04-01,124500,ALL,ALL,660.0,42
173,2629,2026-04-01,124600,ALL,ALL,720.0,21
174,2630,2026-04-01,124800,ALL,ALL,600.0,48
175,2631,2026-04-01,124900,ALL,ALL,605.0,30
176,2632,2026-04-01,125000,ALL,ALL,690.0,27
177,2633,2026-04-01,125200,ALL,ALL,720.0,39
178,2634,2026-04-01,125300,ALL,ALL,758.0,6
179,2635,2026-04-01,125400,ALL,ALL,750.0,27
180,2636,2026-04-01,125500,ALL,ALL,700.0,48
181,2637,2026-04-01,125600,ALL,ALL,745.0,30
182,2638,2026-04-01,125700,ALL,ALL,645.0,24
183,2639,2026-04-01,125800,ALL,ALL,650.0,24
184,2640,2026-04-01,125900,ALL,ALL,1050.0,21
185,2641,2026-04-01,126000,ALL,ALL,770.0,9
186,2642,2026-04-01,126100,ALL,ALL,700.0,12
187,2643,2026-04-01,126200,ALL,ALL,700.0,15
